,Year,State,TMAX_AVG,Population,meat_consumption,co2_emission,petroleum_emission,natural_gas_emission,electricity_emission,coal_emission,coal_consumption,natural_gas_consumption,petroleum_consumption
169,1993,MD,183.89310497930958,4942504.0,109468.0,69.0,34.5,9.9,27.7,24.8,6416642.666666667,4035446.0,3251948.4
170,1993,ME,111.89820760439726,1238256.0,29001.0,18.8,17.0,0.3,1.3,1.6,168556.0,95036.0,1011821.0
171,1993,MI,118.98940780496712,9529240.0,506225.0,177.4,60.4,49.7,65.3,67.9,11918754.8,33433990.666666668,628749.2
172,1993,MN,100.28733629209587,4521709.0,2063201.0,84.1,35.9,17.5,29.3,30.9,11822913.333333334,2608870.0,590778.5
173,1993,MO,173.48586491654243,5237757.0,1445098.0,100.0,41.1,14.8,42.2,44.4,11043849.0,2649591.0,653043.0
174,1993,MS,231.21754484747953,2635574.0,280810.0,50.4,28.6,12.5,13.7,9.4,2529822.6666666665,18997919.6,3766985.3333333335
175,1993,MT,106.53749045338623,839876.0,882424.0,27.2,9.1,2.9,14.7,15.4,6080796.0,279722.6666666667,25258.0
176,1993,NC,207.99954512846574,6947412.0,1081175.0,126.4,51.2,10.1,59.3,65.4,9938827.6,1523680.3333333333,356303.6
177,1993,ND,99.00202930402465,637229.0,453206.0,47.4,7.4,2.2,29.1,37.9,15564779.333333334,60411.333333333336,74645.33333333333
178,1993,NE,144.37835866866294,1612149.0,5574383.0,35.8,13.6,6.5,15.2,15.8,6209295.333333333,1251614.0,42399.0
179,1993,NH,129.55558952075071,1122191.0,10162.0,14.9,10.5,0.9,4.5,3.6,1338757.0,135585.0,801600.0
180,1993,NJ,170.91462117346848,7874891.0,20692.0,112.0,71.0,35.3,13.5,6.0,1415421.3333333333,46478818.333333336,925366.3333333334
181,1993,NM,196.92478570657534,1614937.0,764756.0,52.1,14.7,11.9,27.0,25.7,14941760.0,12653806.8,56486.0
182,1993,NV,163.6826058262576,1380197.0,146213.0,33.8,12.9,4.6,18.4,16.4,7608216.0,24983620.666666668,370402.0
183,1993,NY,133.70740248239457,18140894.0,249014.0,192.7,108.3,54.2,48.3,30.9,3948634.4,86924866.0,8345716.0
184,1993,OH,155.78810745365763,11070385.0,739861.0,251.6,70.9,45.8,118.0,135.7,25895220.0,2290289.5,350797.5
185,1993,OK,213.62142561337535,3228829.0,2205656.0,94.5,29.3,31.8,40.1,33.8,9449150.5,65382192.4,57346.666666666664
186,1993,OR,140.41295760771504,3034490.0,384924.0,34.9,23.9,7.5,4.3,3.5,1328489.3333333333,7023019.6,38718.0
187,1993,PA,156.49861799975326,12022128.0,686008.0,266.7,88.4,38.7,107.7,140.4,15720351.666666666,11670969.0,3104688.6666666665
188,1993,RI,149.94337899478896,997852.0,1742.0,10.8,6.7,4.1,2.0,0.0,0.0,11930405.666666666,99010.0
189,1993,SC,233.78463971142466,3634507.0,201140.0,65.3,26.5,7.7,25.5,31.2,7125724.0,1324737.5,197906.5
190,1993,SD,122.01101998932877,716258.0,1683994.0,12.3,7.2,1.7,2.9,3.5,2359534.0,185754.0,31829.0
191,1993,TN,200.7318226477644,5085666.0,524177.0,115.7,37.2,13.9,55.7,65.0,12179962.5,1767267.0,279045.3333333333
192,1993,TX,247.78057127860282,17996764.0,6341844.0,622.3,280.6,207.9,197.2,135.8,62892944.666666664,554732342.4,1531129.2
193,1993,UT,310.605710402044,1875993.0,328089.0,56.2,13.4,7.9,31.2,35.1,7108060.5,3383309.5,25500.4
194,1993,VA,192.52599355482462,6464795.0,418565.0,101.3,50.9,13.2,31.7,37.6,5765843.0,15589133.2,1581239.2
195,1993,VT,115.85050541311509,574004.0,61066.0,6.1,5.8,0.4,0.0,0.0,0.0,268002.0,11572.666666666666
196,1993,WA,128.28063427462732,5247704.0,705690.0,70.3,49.1,12.1,10.3,9.3,2834776.5,11160253.6,68257.5
197,1993,WI,111.34691012925468,5055318.0,978972.0,90.0,33.3,18.6,34.4,38.3,7798433.6,2202284.4,293568.0
198,1993,WV,169.69985656792332,1816179.0,126874.0,98.1,12.9,7.6,67.7,77.8,11833226.0,695951.2,268966.0
199,1993,WY,98.19525941356986,469033.0,642850.0,57.7,7.7,5.8,40.3,44.4,16153726.0,2402596.0,78912.0
200,1994,AK,48.407589201041105,600624.0,1213.0,36.2,15.6,19.5,2.3,1.2,252164.66666666666,26328246.0,528669.0
201,1994,AL,233.8757451011069,4232965.0,344829.0,123.2,34.5,15.8,60.0,73.2,13066770.0,5614978.4,321346.6666666667
202,1994,AR,219.9096011058493,2450605.0,519713.0,54.2,20.2,13.1,21.7,21.1,8179630.666666667,17977969.5,89696.5
