,State,date,metric_name,metric_value,var4
268455,OK,19911003,TMAX,314.8229166666667,1465.9375
268456,OK,19911003,TMIN,153.86315789473684,1472.9473684210527
268463,OK,19911004,PRCP,0.9431818181818182,767.8571428571429
268465,OK,19911004,SNOW,0.0,
268468,OK,19911004,TMAX,295.7340425531915,1459.8936170212767
268469,OK,19911004,TMIN,144.48387096774192,1466.989247311828
268480,OK,19911005,PRCP,5.528409090909091,767.8571428571429
268482,OK,19911005,SNOW,0.0,
268485,OK,19911005,TMAX,211.68817204301075,1477.741935483871
268486,OK,19911005,TMIN,48.24731182795699,1477.741935483871
268492,OK,19911006,PRCP,0.0,767.8571428571429
268494,OK,19911006,SNOW,0.0,
268497,OK,19911006,TMAX,201.34408602150538,1477.741935483871
268498,OK,19911006,TMIN,36.24731182795699,1477.741935483871
268508,OK,19911007,PRCP,0.0,767.8571428571429
268510,OK,19911007,SNOW,0.0,
268513,OK,19911007,TMAX,246.32631578947368,1463.4736842105262
268514,OK,19911007,TMIN,53.33684210526316,1463.4736842105262
268520,OK,19911008,PRCP,0.0,767.8571428571429
268522,OK,19911008,SNOW,0.0,
268525,OK,19911008,TMAX,271.4791666666667,1465.9375
268526,OK,19911008,TMIN,97.30208333333333,1465.9375
268532,OK,19911009,PRCP,0.0,767.8571428571429
268534,OK,19911009,SNOW,0.0,
268537,OK,19911009,TMAX,286.40625,1465.9375
268538,OK,19911009,TMIN,109.07291666666667,1465.9375
268544,OK,19911010,PRCP,0.0,767.6646706586827
268546,OK,19911010,SNOW,0.0,
268549,OK,19911010,TMAX,289.65263157894736,1462.421052631579
268550,OK,19911010,TMIN,109.0421052631579,1462.421052631579
268557,OK,19911011,PRCP,0.0,767.8571428571429
268559,OK,19911011,SNOW,0.0,
268562,OK,19911011,TMAX,315.2842105263158,1463.4736842105262
268563,OK,19911011,TMIN,109.34736842105264,1463.4736842105262
268569,OK,19911012,PRCP,0.0,767.8571428571429
268571,OK,19911012,SNOW,0.0,
268574,OK,19911012,TMAX,309.67021276595744,1480.1063829787233
268575,OK,19911012,TMIN,109.62765957446808,1480.1063829787233
268581,OK,19911013,PRCP,0.0,767.8571428571429
268583,OK,19911013,SNOW,0.0,
268586,OK,19911013,TMAX,297.0111111111111,1477.0
268587,OK,19911013,TMIN,114.9888888888889,1477.0
268597,OK,19911014,PRCP,0.3485714285714286,767.6646706586827
268599,OK,19911014,SNOW,0.0,
268602,OK,19911014,TMAX,272.9021739130435,1485.108695652174
268603,OK,19911014,TMIN,125.76086956521739,1485.108695652174
268615,OK,19911015,PRCP,0.20454545454545456,767.8571428571429
268617,OK,19911015,SNOW,0.0,
268620,OK,19911015,TMAX,227.9157894736842,1463.4736842105262
268621,OK,19911015,TMIN,86.12631578947368,1463.4736842105262
268627,OK,19911016,PRCP,0.2159090909090909,767.8571428571429
268629,OK,19911016,SNOW,0.0,
268632,OK,19911016,TMAX,253.4842105263158,1463.4736842105262
268633,OK,19911016,TMIN,66.97894736842105,1463.4736842105262
268639,OK,19911017,PRCP,0.0,767.8571428571429
268641,OK,19911017,SNOW,0.0,
268644,OK,19911017,TMAX,297.4947368421053,1463.4736842105262
268645,OK,19911017,TMIN,117.38947368421053,1463.4736842105262
268651,OK,19911018,PRCP,0.0,767.8571428571429
268653,OK,19911018,SNOW,0.0,
268656,OK,19911018,TMAX,299.97872340425533,1459.8936170212767
268657,OK,19911018,TMIN,134.38297872340425,1459.8936170212767
268663,OK,19911019,PRCP,0.0,768.2634730538922
268665,OK,19911019,SNOW,0.0,
268668,OK,19911019,TMAX,236.09677419354838,1477.741935483871
268669,OK,19911019,TMIN,48.70652173913044,1475.3260869565217
268677,OK,19911020,PRCP,0.028409090909090908,767.8571428571429
268679,OK,19911020,SNOW,0.0,
268682,OK,19911020,TMAX,201.43010752688173,1477.741935483871
268683,OK,19911020,TMIN,61.236559139784944,1477.741935483871
268693,OK,19911021,PRCP,0.0,767.8571428571429
268695,OK,19911021,SNOW,0.0,
268698,OK,19911021,TMAX,251.11458333333334,1465.9375
268699,OK,19911021,TMIN,75.26041666666667,1465.9375
268705,OK,19911022,PRCP,0.0,767.8571428571429
268707,OK,19911022,SNOW,0.0,
268710,OK,19911022,TMAX,283.6,1463.4736842105262
268711,OK,19911022,TMIN,120.96842105263158,1463.4736842105262
268718,OK,19911023,PRCP,1.2159090909090908,767.8571428571429
268720,OK,19911023,SNOW,0.0,
268723,OK,19911023,TMAX,293.36170212765956,1470.531914893617
268724,OK,19911023,TMIN,166.03191489361703,1470.531914893617
268732,OK,19911024,PRCP,43.70285714285714,768.2634730538922
268734,OK,19911024,SNOW,0.0,
268737,OK,19911024,TMAX,283.34736842105264,1461.3684210526317
268738,OK,19911024,TMIN,158.81914893617022,1469.468085106383
268749,OK,19911025,PRCP,268.2429378531073,767.4556213017752
268751,OK,19911025,SNOW,0.0,
268754,OK,19911025,TMAX,226.10526315789474,1463.4736842105262
268755,OK,19911025,TMIN,93.87368421052632,1463.4736842105262
268767,OK,19911026,PRCP,286.81976744186045,768.9024390243902
268769,OK,19911026,SNOW,0.0,
268772,OK,19911026,TMAX,205.2340425531915,1480.1063829787233
268773,OK,19911026,TMIN,108.68085106382979,1480.1063829787233
268788,OK,19911027,PRCP,55.81656804733728,769.5652173913044
268790,OK,19911027,SNOW,0.0,
268793,OK,19911027,TMAX,221.13186813186815,1481.6483516483515
268794,OK,19911027,TMIN,131.6153846153846,1470.6593406593406
268810,OK,19911028,PRCP,343.5176470588235,769.1358024691358
268812,OK,19911028,SNOW,0.0,
268815,OK,19911028,TMAX,224.01041666666666,1465.9375
268816,OK,19911028,TMIN,132.03125,1465.9375
268828,OK,19911029,PRCP,95.05714285714286,768.2634730538922
268830,OK,19911029,SNOW,0.0,
268833,OK,19911029,TMAX,185.85263157894738,1463.4736842105262
268834,OK,19911029,TMIN,20.52127659574468,1460.9574468085107
268845,OK,19911030,PRCP,28.39080459770115,756.0240963855422
268847,OK,19911030,SNOW,0.52,
268850,OK,19911030,TMAX,67.74193548387096,1465.9139784946237
268851,OK,19911030,TMIN,5.340425531914893,1458.8297872340424
268865,OK,19911031,PRCP,107.67836257309942,763.1901840490798
268867,OK,19911031,SNOW,7.8982035928143715,
268870,OK,19911031,TMAX,37.064516129032256,1456.236559139785
268871,OK,19911031,TMIN,-3.161290322580645,1456.236559139785
268881,OK,19911101,PRCP,112.2542372881356,760.9467455621302
268883,OK,19911101,SNOW,1.7289156626506024,
268886,OK,19911101,TMAX,35.69892473118279,1456.236559139785
268887,OK,19911101,TMIN,-30.76086956521739,1452.5
268894,OK,19911102,PRCP,1.4011627906976745,762.6506024096385
268896,OK,19911102,SNOW,0.9941860465116279,
268899,OK,19911102,TMAX,13.274725274725276,1470.6593406593406
268900,OK,19911102,TMIN,-62.69565217391305,1474.2391304347825
268908,OK,19911103,PRCP,6.811428571428571,761.0778443113772
268910,OK,19911103,SNOW,4.128048780487805,
268913,OK,19911103,TMAX,11.428571428571429,1480.5494505494505
268914,OK,19911103,TMIN,-104.50549450549451,1480.5494505494505
268920,OK,19911104,PRCP,0.3465909090909091,761.3095238095239
268922,OK,19911104,SNOW,0.14124293785310735,
268925,OK,19911104,TMAX,71.15957446808511,1458.8297872340424
268926,OK,19911104,TMIN,-74.53191489361703,1458.8297872340424
268930,OK,19911105,PRCP,0.7215909090909091,761.3095238095239
268932,OK,19911105,SNOW,0.0,
268935,OK,19911105,TMAX,104.65263157894736,1462.421052631579
268936,OK,19911105,TMIN,-27.926315789473684,1462.421052631579
268940,OK,19911106,PRCP,0.17045454545454544,761.3095238095239
268942,OK,19911106,SNOW,0.1404494382022472,
268945,OK,19911106,TMAX,135.25531914893617,1458.8297872340424
268946,OK,19911106,TMIN,-16.69148936170213,1458.8297872340424
268951,OK,19911107,PRCP,1.24,761.3095238095239
268953,OK,19911107,SNOW,1.7045454545454546,
268956,OK,19911107,TMAX,114.37894736842105,1462.421052631579
268957,OK,19911107,TMIN,-38.88297872340426,1470.531914893617
268967,OK,19911108,PRCP,8.418079096045197,767.4556213017752
268969,OK,19911108,SNOW,5.323529411764706,
268972,OK,19911108,TMAX,50.61052631578947,1474.0
268973,OK,19911108,TMIN,-81.10526315789474,1462.421052631579
268981,OK,19911109,PRCP,0.6045197740112994,767.4556213017752
268983,OK,19911109,SNOW,0.0,
268986,OK,19911109,TMAX,114.25274725274726,1502.5274725274726
268987,OK,19911109,TMIN,-46.21978021978022,1502.5274725274726
268992,OK,19911110,PRCP,0.0,767.4556213017752
268994,OK,19911110,SNOW,0.0,
268997,OK,19911110,TMAX,124.91111111111111,1499.2222222222222
268998,OK,19911110,TMIN,-13.433333333333334,1499.2222222222222
269002,OK,19911111,PRCP,0.3615819209039548,767.4556213017752
269004,OK,19911111,SNOW,0.0,
269007,OK,19911111,TMAX,90.4888888888889,1510.3333333333333
269008,OK,19911111,TMIN,9.011111111111111,1510.3333333333333
269016,OK,19911112,PRCP,2.837078651685393,767.0588235294117
269018,OK,19911112,SNOW,0.0,
269021,OK,19911112,TMAX,140.11702127659575,1469.468085106383
269022,OK,19911112,TMIN,8.873684210526315,1462.421052631579
269029,OK,19911113,PRCP,0.7401129943502824,767.4556213017752
269031,OK,19911113,SNOW,0.0,
269034,OK,19911113,TMAX,175.7340425531915,1460.9574468085107
269035,OK,19911113,TMIN,41.840425531914896,1460.9574468085107
269040,OK,19911114,PRCP,10.42134831460674,767.0588235294117
269042,OK,19911114,SNOW,0.0,
269045,OK,19911114,TMAX,178.4375,1465.9375
269046,OK,19911114,TMIN,100.71875,1465.9375
269054,OK,19911115,PRCP,41.112994350282484,767.4556213017752
269056,OK,19911115,SNOW,0.0,
269059,OK,19911115,TMAX,190.78947368421052,1463.4736842105262
269060,OK,19911115,TMIN,111.32631578947368,1463.4736842105262
269070,OK,19911116,PRCP,231.4659090909091,767.2619047619048
269072,OK,19911116,SNOW,0.7094972067039106,
269075,OK,19911116,TMAX,161.7826086956522,1485.108695652174
269076,OK,19911116,TMIN,90.43478260869566,1485.108695652174
269087,OK,19911117,PRCP,198.79545454545453,766.6666666666666
269089,OK,19911117,SNOW,0.0,
269092,OK,19911117,TMAX,171.07777777777778,1500.3333333333333
269093,OK,19911117,TMIN,73.46666666666667,1500.3333333333333
269102,OK,19911118,PRCP,6.556818181818182,766.6666666666666
269104,OK,19911118,SNOW,0.0,
269107,OK,19911118,TMAX,210.44210526315788,1463.4736842105262
269108,OK,19911118,TMIN,73.36842105263158,1463.4736842105262
269114,OK,19911119,PRCP,8.01123595505618,767.0588235294117
269116,OK,19911119,SNOW,0.0,
269119,OK,19911119,TMAX,197.82105263157894,1474.0
269120,OK,19911119,TMIN,85.85416666666667,1465.9375
269128,OK,19911120,PRCP,66.82022471910112,766.4705882352941
269130,OK,19911120,SNOW,0.07262569832402235,
269133,OK,19911120,TMAX,144.29787234042553,1470.531914893617
269134,OK,19911120,TMIN,43.54838709677419,1478.8172043010752
269142,OK,19911121,PRCP,1.7584269662921348,767.0588235294117
269144,OK,19911121,SNOW,0.0,
269147,OK,19911121,TMAX,163.7157894736842,1463.4736842105262
269148,OK,19911121,TMIN,-2.5473684210526315,1463.4736842105262
269153,OK,19911122,PRCP,0.0,767.0588235294117
269155,OK,19911122,SNOW,0.0,
269158,OK,19911122,TMAX,156.63541666666666,1465.9375
269159,OK,19911122,TMIN,21.239583333333332,1465.9375
269163,OK,19911123,PRCP,0.0,767.0588235294117
269165,OK,19911123,SNOW,0.0,
269168,OK,19911123,TMAX,107.49450549450549,1492.6373626373627
269169,OK,19911123,TMIN,-12.637362637362637,1492.6373626373627
269173,OK,19911124,PRCP,0.0,767.0588235294117
269175,OK,19911124,SNOW,0.0,
269178,OK,19911124,TMAX,99.24444444444444,1500.3333333333333
269179,OK,19911124,TMIN,-42.333333333333336,1500.3333333333333
269183,OK,19911125,PRCP,0.0,767.0588235294117
269185,OK,19911125,SNOW,0.0,
269188,OK,19911125,TMAX,107.64583333333333,1465.9375
269189,OK,19911125,TMIN,-24.760416666666668,1465.9375
269193,OK,19911126,PRCP,0.0,767.0588235294117
269195,OK,19911126,SNOW,0.0,
269198,OK,19911126,TMAX,136.04166666666666,1465.9375
269199,OK,19911126,TMIN,-2.6041666666666665,1465.9375
269203,OK,19911127,PRCP,1.2359550561797752,767.0588235294117
269205,OK,19911127,SNOW,0.0,
269208,OK,19911127,TMAX,158.50537634408602,1456.236559139785
269209,OK,19911127,TMIN,45.5,1463.3695652173913
269215,OK,19911128,PRCP,0.32386363636363635,766.6666666666666
269217,OK,19911128,SNOW,0.0,
269220,OK,19911128,TMAX,203.7840909090909,1493.5227272727273
269221,OK,19911128,TMIN,92.48863636363636,1493.5227272727273
269227,OK,19911129,PRCP,9.870056497175142,766.8639053254437
269229,OK,19911129,SNOW,0.13966480446927373,
269232,OK,19911129,TMAX,206.79569892473117,1466.989247311828
269233,OK,19911129,TMIN,111.94623655913979,1466.989247311828
269244,OK,19911130,PRCP,43.35057471264368,766.8674698795181
269246,OK,19911130,SNOW,0.0,
269249,OK,19911130,TMAX,162.79775280898878,1496.9662921348315
269250,OK,19911130,TMIN,13.730337078651685,1496.9662921348315
269258,OK,19911201,PRCP,48.654761904761905,769.5652173913044
269260,OK,19911201,SNOW,0.6729559748427673,
269263,OK,19911201,TMAX,35.76923076923077,1491.5384615384614
269264,OK,19911201,TMIN,-23.46153846153846,1491.5384615384614
269278,OK,19911202,PRCP,113.04819277108433,770.253164556962
269280,OK,19911202,SNOW,1.8615384615384616,
269283,OK,19911202,TMAX,31.770833333333332,1455.5208333333333
